WL,Al,WL,Cr,WL,Cu,WL,Au
383.59972,0.37646,383.59972,0.8292,383.59972,0.68592,383.59972,0.41397
383.6886,0.37403,383.6886,0.82131,383.6886,0.67601,383.6886,0.41377
383.77752,0.37174,383.77752,0.81329,383.77752,0.66628,383.77752,0.41373
383.86648,0.36961,383.86648,0.80517,383.86648,0.65672,383.86648,0.41387
383.95548,0.36761,383.95548,0.79697,383.95548,0.64736,383.95548,0.41417
384.04453,0.36576,384.04453,0.78869,384.04453,0.63819,384.04453,0.41465
384.13361,0.36405,384.13361,0.78037,384.13361,0.62921,384.13361,0.41531
384.22274,0.36249,384.22274,0.772,384.22274,0.62044,384.22274,0.41615
384.31191,0.36106,384.31191,0.76361,384.31191,0.61188,384.31191,0.41718
384.40111,0.35977,384.40111,0.75521,384.40111,0.60352,384.40111,0.41839
384.49036,0.35862,384.49036,0.74682,384.49036,0.59538,384.49036,0.4198
384.57966,0.35761,384.57966,0.73844,384.57966,0.58744,384.57966,0.4214
384.66899,0.35674,384.66899,0.73009,384.66899,0.57971,384.66899,0.42321
384.75836,0.35602,384.75836,0.72178,384.75836,0.5722,384.75836,0.42522
384.84778,0.35544,384.84778,0.71353,384.84778,0.5649,384.84778,0.42744
384.93724,0.355,384.93724,0.70534,384.93724,0.5578,384.93724,0.42988
385.02674,0.35472,385.02674,0.69722,385.02674,0.55092,385.02674,0.43255
385.11628,0.35458,385.11628,0.68919,385.11628,0.54425,385.11628,0.43545
385.20586,0.35461,385.20586,0.68124,385.20586,0.53778,385.20586,0.43859
385.29549,0.35479,385.29549,0.6734,385.29549,0.53152,385.29549,0.44198
385.38515,0.35514,385.38515,0.66567,385.38515,0.52546,385.38515,0.44562
385.47486,0.35566,385.47486,0.65805,385.47486,0.5196,385.47486,0.44952
385.56461,0.35636,385.56461,0.65055,385.56461,0.51395,385.56461,0.4537
385.6544,0.35725,385.6544,0.64318,385.6544,0.50849,385.6544,0.45815
385.74423,0.35833,385.74423,0.63595,385.74423,0.50323,385.74423,0.4629
385.83411,0.35961,385.83411,0.62886,385.83411,0.49816,385.83411,0.46795
385.92403,0.36111,385.92403,0.62191,385.92403,0.49329,385.92403,0.47331
386.01399,0.36282,386.01399,0.61511,386.01399,0.4886,386.01399,0.479
386.10399,0.36478,386.10399,0.60847,386.10399,0.48411,386.10399,0.48502
386.19403,0.36699,386.19403,0.60198,386.19403,0.4798,386.19403,0.49138
386.28411,0.36946,386.28411,0.59565,386.28411,0.47567,386.28411,0.4981
386.37424,0.37222,386.37424,0.58949,386.37424,0.47173,386.37424,0.50519
386.46441,0.37529,386.46441,0.5835,386.46441,0.46797,386.46441,0.51266
386.55462,0.37867,386.55462,0.57767,386.55462,0.46439,386.55462,0.52053
386.64488,0.38241,386.64488,0.57202,386.64488,0.46099,386.64488,0.5288
386.73517,0.38652,386.73517,0.56654,386.73517,0.45777,386.73517,0.53749
386.82551,0.39104,386.82551,0.56124,386.82551,0.45472,386.82551,0.5466
386.91589,0.39599,386.91589,0.55612,386.91589,0.45185,386.91589,0.55616
387.00631,0.40141,387.00631,0.55118,387.00631,0.44915,387.00631,0.56616
387.09677,0.40735,387.09677,0.54642,387.09677,0.44663,387.09677,0.57662
387.18728,0.41384,387.18728,0.54185,387.18728,0.44428,387.18728,0.58755
387.27783,0.42094,387.27783,0.53746,387.27783,0.44211,387.27783,0.59895
387.36842,0.4287,387.36842,0.53326,387.36842,0.44011,387.36842,0.61082
387.45905,0.43718,387.45905,0.52925,387.45905,0.43829,387.45905,0.62317
387.54973,0.44645,387.54973,0.52543,387.54973,0.43664,387.54973,0.63599
387.64045,0.45658,387.64045,0.5218,387.64045,0.43517,387.64045,0.64929
387.73121,0.46764,387.73121,0.51836,387.73121,0.43387,387.73121,0.66304
387.82201,0.47974,387.82201,0.51512,387.82201,0.43276,387.82201,0.67724
387.91286,0.49295,387.91286,0.51208,387.91286,0.43182,387.91286,0.69187
388.00375,0.50739,388.00375,0.50924,388.00375,0.43107,388.00375,0.7069
388.09468,0.52317,388.09468,0.50659,388.09468,0.4305,388.09468,0.7223
388.18565,0.54038,388.18565,0.50415,388.18565,0.43012,388.18565,0.73804
388.27667,0.55916,388.27667,0.50191,388.27667,0.42992,388.27667,0.75407
388.36773,0.57962,388.36773,0.49988,388.36773,0.42992,388.36773,0.77033
388.45883,0.60185,388.45883,0.49806,388.45883,0.43012,388.45883,0.78676
388.54998,0.62595,388.54998,0.49644,388.54998,0.43052,388.54998,0.8033
