Wavelength (nm),0 deg,14 deg,28 deg,42 deg,56 deg,70 deg,84 deg
388.00375,0.43941,0.4458,0.44288,0.40834,0.36312,0.32795,0.29448
388.09468,0.43871,0.44263,0.4381,0.40383,0.35974,0.32629,0.29448
388.18565,0.4382,0.43975,0.43356,0.39942,0.35634,0.32443,0.29439
388.27667,0.43788,0.43715,0.4293,0.39519,0.353,0.32243,0.29422
388.36773,0.43776,0.43484,0.42533,0.39116,0.34976,0.32034,0.29396
388.45883,0.43784,0.43282,0.42168,0.38737,0.34667,0.31823,0.29363
388.54998,0.43813,0.43109,0.41834,0.38386,0.34376,0.31612,0.29324
388.64116,0.43863,0.42966,0.41534,0.38063,0.34107,0.31408,0.29281
388.73239,0.43933,0.42851,0.41266,0.37771,0.33859,0.31212,0.29233
388.82367,0.44026,0.42765,0.41031,0.37509,0.33635,0.31027,0.29185
388.91498,0.44142,0.42707,0.40828,0.37278,0.33434,0.30856,0.29135
389.00634,0.4428,0.42679,0.40658,0.37078,0.33257,0.30698,0.29087
