WL,Inf. Array,3x3,12x12,6x6,27x27
367.10264,0.39313,0.3932,0.39396,0.39332,0.39412
367.18404,0.39308,0.39313,0.39392,0.39328,0.39403
367.26547,0.39305,0.39308,0.39391,0.39327,0.39396
367.34694,0.39305,0.39305,0.39391,0.39327,0.39392
367.42844,0.39307,0.39305,0.39395,0.3933,0.39391
367.50999,0.39311,0.39307,0.394,0.39335,0.39391
367.59156,0.39318,0.39311,0.39409,0.39343,0.39395
367.67318,0.39327,0.39318,0.39419,0.39353,0.394
367.75483,0.39339,0.39327,0.39432,0.39365,0.39409
367.83652,0.39354,0.39339,0.39448,0.3938,0.39419
367.91824,0.3937,0.39354,0.39467,0.39398,0.39432
368,0.3939,0.3937,0.39488,0.39418,0.39448
368.0818,0.39412,0.3939,0.39511,0.3944,0.39467
368.16363,0.39436,0.39412,0.39538,0.39465,0.39488
368.2455,0.39464,0.39436,0.39567,0.39493,0.39511
368.3274,0.39493,0.39464,0.39598,0.39523,0.39538
368.40934,0.39526,0.39493,0.39633,0.39556,0.39567
368.49132,0.39561,0.39526,0.3967,0.39591,0.39598
368.57334,0.39599,0.39561,0.3971,0.39629,0.39633
368.65539,0.3964,0.39599,0.39753,0.3967,0.3967
368.73747,0.39684,0.3964,0.39799,0.39714,0.3971
368.8196,0.3973,0.39684,0.39847,0.39761,0.39753
368.90176,0.3978,0.3973,0.39899,0.3981,0.39799
368.98396,0.39832,0.3978,0.39954,0.39863,0.39847
369.06619,0.39888,0.39832,0.40011,0.39918,0.39899
369.14846,0.39946,0.39888,0.40072,0.39977,0.39954
369.23077,0.40008,0.39946,0.40136,0.40038,0.40011
369.31311,0.40072,0.40008,0.40203,0.40103,0.40072
369.39549,0.4014,0.40072,0.40273,0.40171,0.40136
369.47791,0.40212,0.4014,0.40346,0.40242,0.40203
369.56037,0.40286,0.40212,0.40423,0.40316,0.40273
369.64286,0.40364,0.40286,0.40503,0.40394,0.40346
369.72539,0.40445,0.40364,0.40586,0.40475,0.40423
369.80795,0.4053,0.40445,0.40673,0.40559,0.40503
369.89055,0.40618,0.4053,0.40764,0.40647,0.40586
369.97319,0.4071,0.40618,0.40857,0.40738,0.40673
370.05587,0.40805,0.4071,0.40955,0.40834,0.40764
370.13858,0.40904,0.40805,0.41056,0.40932,0.40857
370.22133,0.41007,0.40904,0.41161,0.41035,0.40955
370.30411,0.41114,0.41007,0.4127,0.41141,0.41056
370.38694,0.41225,0.41114,0.41383,0.41252,0.41161
370.4698,0.4134,0.41225,0.415,0.41366,0.4127
370.5527,0.41459,0.4134,0.41621,0.41485,0.41383
370.63563,0.41582,0.41459,0.41746,0.41607,0.415
370.7186,0.41709,0.41582,0.41875,0.41734,0.41621
370.80161,0.41841,0.41709,0.42008,0.41865,0.41746
370.88466,0.41977,0.41841,0.42146,0.42,0.41875
370.96774,0.42117,0.41977,0.42288,0.42141,0.42008
371.05086,0.42263,0.42117,0.42435,0.42285,0.42146
371.13402,0.42413,0.42263,0.42586,0.42434,0.42288
371.21722,0.42567,0.42413,0.42742,0.42589,0.42435
371.30045,0.42727,0.42567,0.42903,0.42748,0.42586
