Wavelength (nm),0.5 nm,1 nm,2 nm,3 nm,4 nm,5 nm ,10 nm
386.19403,0.51216,0.60207,0.72511,0.85614,0.97389,0.87633,0.6596
386.28411,0.50693,0.59445,0.7154,0.84658,0.97122,0.88312,0.65869
386.37424,0.50191,0.58705,0.70584,0.83693,0.96806,0.88978,0.65785
386.46441,0.49708,0.57986,0.69645,0.82723,0.96441,0.89629,0.65707
386.55462,0.49245,0.57289,0.68723,0.81749,0.9603,0.90263,0.65636
386.64488,0.48802,0.56614,0.67819,0.80774,0.95573,0.9088,0.65571
386.73517,0.48378,0.5596,0.66933,0.798,0.95074,0.91476,0.65512
386.82551,0.47973,0.55328,0.66067,0.7883,0.94533,0.92051,0.6546
386.91589,0.47587,0.54717,0.6522,0.77865,0.93954,0.92603,0.65414
387.00631,0.4722,0.54128,0.64394,0.76907,0.93339,0.9313,0.65374
387.09677,0.46872,0.5356,0.63589,0.75958,0.9269,0.9363,0.65342
387.18728,0.46543,0.53014,0.62805,0.75018,0.92009,0.94102,0.65316
387.27783,0.46232,0.52488,0.62042,0.7409,0.913,0.94545,0.65296
387.36842,0.4594,0.51983,0.61301,0.73176,0.90564,0.94956,0.65283
387.45905,0.45666,0.51499,0.60582,0.72275,0.89806,0.95335,0.65277
387.54973,0.45411,0.51036,0.59884,0.71389,0.89026,0.95681,0.65278
387.64045,0.45174,0.50593,0.59208,0.70519,0.88227,0.95992,0.65285
387.73121,0.44955,0.50171,0.58555,0.69667,0.87414,0.96267,0.653
387.82201,0.44755,0.49769,0.57923,0.68832,0.86586,0.96505,0.65321
387.91286,0.44573,0.49387,0.57314,0.68015,0.85748,0.96706,0.65349
388.00375,0.44409,0.49025,0.56726,0.67217,0.84902,0.96868,0.65384
388.09468,0.44264,0.48684,0.56161,0.66439,0.84049,0.96992,0.65426
388.18565,0.44138,0.48362,0.55618,0.65681,0.83193,0.97078,0.65475
388.27667,0.44029,0.4806,0.55096,0.64943,0.82334,0.97124,0.65532
